Method,Endpoint,Summary,Description,Authentication,Request Body,Parameters
GET,/api/v1/account,,,False,,0
POST,/api/v1/account/user-creation,,,False,Yes,0
GET,/api/v1/account/roles,,"{'tool_name': 'get_work_orders', 'description': 'Returns active work orders for AI-driven production monitoring and scheduling. Accessible by the Agentic AI platform for automatic tool registration and execution. Recommended for Operations and Production Planning agents only. Not intended for maintenance, inventory, or finance-related tasks.', 'agent_accessible': True, 'auto_register': True}",False,,0
GET,/api/v1/account/menu,,,False,,0
GET,/api/v1/account/user-by-id/{id},,,False,,1
POST,/api/v1/account/login,,,False,Yes,0
GET,/api/v1/production/alerts/get-alert,,,False,,10
POST,/api/v1/production/alerts/{alertId}/acknowledge,,,False,,1
POST,/api/v1/production/alerts/{alertId}/resolve,,,False,Yes,1
POST,/api/v1/production/alerts/Add-alert,,,False,Yes,0
POST,/api/v1/production/alerts/bulk-resolve,,,False,Yes,0
GET,/api/v1/production/alerts/conflict/{conflictId}/resolutions,,,False,,2
POST,/api/v1/production/alerts/conflict/resolve,,,False,Yes,0
GET,/api/v1/production/alerts/notifications/rules,,,False,,0
POST,/api/v1/production/alerts/notifications/rules,,,False,Yes,0
DELETE,/api/v1/production/alerts/notifications/rules/{ruleId},,,False,,1
POST,/api/v1/attachment/upload-files,,,False,Yes,2
DELETE,/api/v1/attachment/delete/{id},,,False,,1
GET,/api/v1/attachment/profile-photo/{id},,,False,,1
GET,/api/v1/attachment/file-by-id/{id},,,False,,1
GET,/api/v1/attachment/downaload-by-id/{id},,,False,,1
GET,/api/v1/production/capacity,,,False,,8
GET,/api/v1/production/capacity/machine/{machineId},,,False,,3
GET,/api/v1/production/capacity/skill-matrix,,,False,,0
POST,/api/v1/production/capacity/balance,,,False,Yes,0
GET,/api/v1/production/capacity/forecast,,,False,,1
GET,/api/v1/production/capacity/machine-availability/{machineId},,,False,,1
GET,/api/v1/production/capacity/machine-availability,,,False,,0
POST,/api/v1/production/capacity/simulation,,,False,Yes,0
POST,/api/v1/production/capacity/simulation/change,,,False,Yes,0
POST,/api/v1/production/capacity/simulation/commit,,,False,Yes,0
GET,/api/v1/dashboard,,,False,,0
GET,/api/v1/dashboard/pormDashboardData,,,False,,0
GET,/api/v1/dashboard/production-summaries,,,False,,0
GET,/api/v1/dashboard/production-monthly-summaries,,,False,,0
GET,/api/v1/dashboard/forecast-vs-actual,,,False,,0
GET,/api/v1/dashboard/salesorderReport,,,False,,1
GET,/api/v1/gatemanagement,,,False,,0
POST,/api/v1/gatemanagement/gate-entry,,,False,Yes,28
GET,/api/v1/gatemanagement/entry-details/{requestId},,,False,,1
GET,/api/v1/gatemanagement/qr-code/{requestId},,,False,,1
GET,/api/v1/gatemanagement/entry-files/{requestId},,,False,,1
POST,/api/v1/gatemanagement/exit-entry,,,False,Yes,0
POST,/api/v1/gatemanagement/visitor-entry,,,False,Yes,0
POST,/api/v1/gatemanagement/visitor-update,,,False,Yes,0
